id,category,key,value,keywords
1,admissions,Last Date of Admission,Applications close on 30 June every year. Apply through srmist.edu.in.,"last date, deadline, apply, admission close"
2,admissions,Admission Process,"Apply online on SRM portal → Appear for SRMJEEE → Attend counselling → Pay fee → Confirm seat","admission process, steps, how to apply, srmjeee"
3,admissions,Required Documents,"10th marksheet, 12th marksheet, Transfer Certificate, Aadhaar card, Passport size photos, Migration Certificate","documents, required, marksheet, certificate"
4,admissions,Minimum Eligibility,Minimum 60% marks in 12th with Physics Chemistry and Mathematics. Age must be at least 17 years.,"eligibility, marks, percentage, age, minimum"
5,general,Helpline Number,SRM helpline: 1800-102-1525. Available Monday to Saturday 9AM to 5PM.,"helpline, contact, phone, number, support"
6,general,Email Contact,For general queries: info@srmist.edu.in | For admissions: admissions@srmist.edu.in,"email, contact, mail"
7,general,Library Timings,"Library is open Monday to Saturday: 8AM to 10PM. Sunday: 9AM to 6PM. Students can borrow 3 books for 14 days.","library, timing, books, borrow"
8,general,Bus Transport,SRM provides buses from major city locations. Apply for bus pass through student portal at semester start.,"bus, transport, routes, pass"
9,general,Minimum Attendance,Minimum 75% attendance is compulsory to be eligible for end semester examinations.,"attendance, minimum, required, 75"
10,general,CGPA Calculation,CGPA is calculated using grade points of all subjects weighted by their credit hours each semester.,"cgpa, gpa, grade, calculation, credit"
